#,Company,Symbol,Weight,Price,Chg,% Chg
118,"Crowdstrike Holdings, Inc. Class A",CRWD,0.16%,362.29,11.26,(3.21%)
119,The Sherwin-Williams Company,SHW,0.16%,345.47,3.09,(0.90%)
120,"Mondelez International, Inc. Class A",MDLZ,0.16%,59.39,0.12,(0.20%)
121,"Motorola Solutions, Inc.",MSI,0.16%,469.94,6.13,(1.32%)
122,Aon Plc Class A,AON,0.15%,358.47,4.72,(1.33%)
123,The Cigna Group,CI,0.15%,276.92,2.12,(0.77%)
124,Colgate-Palmolive Company,CL,0.15%,92.03,-0.89,(-0.96%)
125,Synopsys Inc,SNPS,0.15%,492.18,-1.17,(-0.24%)
126,Pnc Financial Services Group,PNC,0.15%,192.76,2.73,(1.44%)
127,Regeneron Pharmaceuticals Inc,REGN,0.15%,701.85,-6.40,(-0.90%)
128,Mckesson Corporation,MCK,0.15%,579.74,0.52,(0.09%)
129,"Waste Management, Inc.",WM,0.15%,205.83,0.30,(0.15%)
130,Zoetis Inc.,ZTS,0.15%,164.84,1.32,(0.81%)
131,U.S. Bancorp,USB,0.15%,47.92,0.51,(1.08%)
132,Moody's Corporation,MCO,0.15%,466.35,4.26,(0.92%)
133,Welltower Inc.,WELL,0.14%,124.64,0.86,(0.69%)
134,Transdigm Group Incorporated,TDG,0.14%,"1,276.15",16.03,(1.27%)
135,"O'reilly Automotive, Inc.",ORLY,0.14%,"1,219.11",4.72,(0.39%)
136,Constellation Energy Corporation,CEG,0.14%,227.02,1.85,(0.82%)
137,Emerson Electric Co.,EMR,0.14%,124.09,1.74,(1.42%)
138,3m Company,MMM,0.14%,129.28,2.15,(1.69%)
139,Illinois Tool Works Inc.,ITW,0.14%,258.82,0.71,(0.28%)
140,"Eog Resources, Inc.",EOG,0.13%,119.04,0.82,(0.69%)
141,General Dynamics Corporation,GD,0.13%,263.64,3.36,(1.29%)
142,Capital One Financial,COF,0.13%,178.65,2.99,(1.70%)
143,Marriot International Class A,MAR,0.13%,283.96,4.94,(1.77%)
144,"Air Products & Chemicals, Inc.",APD,0.13%,294.99,1.82,(0.62%)
145,"Becton, Dickinson and Co.",BDX,0.13%,227.68,3.85,(1.72%)
146,Northrop Grumman Corp.,NOC,0.13%,469.54,2.41,(0.52%)
147,Williams Companies Inc.,WMB,0.13%,53.49,0.92,(1.75%)
148,Autodesk Inc,ADSK,0.13%,298.12,4.49,(1.53%)
149,Cintas Corp,CTAS,0.13%,186.94,4.15,(2.27%)
150,Fedex Corporation,FDX,0.12%,275.73,-0.15,(-0.05%)
151,Csx Corporation,CSX,0.12%,31.85,0.27,(0.85%)
152,Arthur J. Gallagher & Co.,AJG,0.12%,283.10,4.01,(1.44%)
153,Hilton Worldwide Holdings Inc.,HLT,0.12%,249.42,3.67,(1.49%)
154,Target Corporation,TGT,0.12%,131.48,1.05,(0.81%)
155,"Fortinet, Inc.",FTNT,0.12%,97.19,2.34,(2.47%)
156,"Ecolab, Inc.",ECL,0.12%,238.29,2.76,(1.17%)
157,"Oneok, Inc.",OKE,0.11%,100.08,2.42,(2.48%)
158,Truist Financial Corporation,TFC,0.11%,43.32,0.77,(1.81%)
159,"Airbnb, Inc. Class A",ABNB,0.11%,134.21,4.86,(3.76%)
160,General Motors Company,GM,0.11%,51.81,1.47,(2.92%)
161,Bank of New York Mellon Corporation,BK,0.11%,77.62,1.21,(1.58%)
162,"Roper Technologies, Inc.",ROP,0.11%,525.40,3.65,(0.70%)
163,Carrier Global Corporation,CARR,0.11%,68.49,1.80,(2.70%)
164,"Hca Healthcare, Inc.",HCA,0.11%,303.62,6.10,(2.05%)
165,Cvs Health Corporation,CVS,0.11%,44.36,0.58,(1.32%)
166,"Autozone, Inc.",AZO,0.11%,"3,253.47",38.18,(1.19%)
167,Freeport-Mcmoran Inc.,FCX,0.11%,38.86,0.62,(1.62%)
168,Paccar Inc,PCAR,0.11%,105.32,-2.19,(-2.04%)
169,Royal Caribbean Group,RCL,0.11%,238.43,7.67,(3.32%)
170,"Digital Realty Trust, Inc.",DLR,0.11%,178.57,1.76,(1.00%)
171,Sempra,SRE,0.11%,86.81,0.91,(1.06%)
172,"The Travelers Companies, Inc.",TRV,0.11%,240.76,3.05,(1.28%)
